STATUS,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,FUNCTION,CATEGORY,SUBCATEGORY
ACTIVE,ACCESS CONTROL,AC-1,ACCESS CONTROL POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH",IDENTIFY,GOVERNANCE,ID.GV-1
ACTIVE,ACCESS CONTROL,AC-10,CONCURRENT SESSION CONTROL,P3,HIGH,PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-11,SESSION LOCK,P3,"MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-12,SESSION TERMINATION,P2,"MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-14,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,P3,"LOW,MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-16,SECURITY ATTRIBUTES,P0,NA,PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-19,ACCESS CONTROL FOR MOBILE DEVICES,P1,"LOW,MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-3
ACTIVE,ACCESS CONTROL,AC-20,USE OF EXTERNAL INFORMATION SYSTEMS,P1,"LOW,MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-3
ACTIVE,ACCESS CONTROL,AC-24,ACCESS CONTROL DECISIONS,P0,NA,PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-3,ACCESS ENFORCEMENT,P1,"LOW,MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-4,INFORMATION FLOW ENFORCEMENT,P1,"MODERATE,HIGH",IDENTIFY,ASSET MANAGEMENT,ID.AM-3
ACTIVE,ACCESS CONTROL,AC-4,INFORMATION FLOW ENFORCEMENT,P1,"MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-5
ACTIVE,ACCESS CONTROL,AC-5,SEPARATION OF DUTIES,P1,"MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-6,LEAST PRIVILEGE,P1,"MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-4
ACTIVE,ACCESS CONTROL,AC-7,UNSUCCESSFUL LOGON ATTEMPTS,P2,"LOW,MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-1
ACTIVE,ACCESS CONTROL,AC-8,SYSTEM USE NOTIFICATION,P1,"LOW,MODERATE,HIGH",PROTECT,ACCESS CONTROL,PR.AC-1
ACTIVE,ACCESS CONTROL,AC-9,PREVIOUS LOGON (ACCESS) NOTIFICATION,P0,NA,PROTECT,ACCESS CONTROL,PR.AC-1
ACTIVE,AWARENESS AND TRAINING,AT-1,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH",IDENTIFY,GOVERNANCE,ID.GV-1
ACTIVE,AWARENESS AND TRAINING,AT-2,SECURITY AWARENESS TRAINING,P1,"LOW,MODERATE,HIGH",PROTECT,AWARENESS AND TRAINING,PR.AT-1
ACTIVE,AWARENESS AND TRAINING,AT-3,ROLE-BASED SECURITY TRAINING,P1,"LOW,MODERATE,HIGH",PROTECT,AWARENESS AND TRAINING,PR.AT-2
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-1,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH",IDENTIFY,GOVERNANCE,ID.GV-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-1,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH",PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-10,NON-REPUDIATION,P2,HIGH,PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-11,AUDIT RECORD RETENTION,P3,"LOW,MODERATE,HIGH",PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-12,AUDIT GENERATION,P1,"LOW,MODERATE,HIGH",PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-13,MONITORING FOR INFORMATION DISCLOSURE,P0,NA,PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-14,SESSION AUDIT,P0,NA,PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-15,ALTERNATE AUDIT CAPABILITY,P0,NA,PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-16,CROSS-ORGANIZATIONAL AUDITING,P0,NA,PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-2,AUDIT EVENTS,P1,"LOW,MODERATE,HIGH",PROTECT,MAINTENANCE,PR.PT-1
ACTIVE,AUDIT AND ACCOUNTABILITY,AU-3,CONTENT OF AUDIT RECORDS,P1,"LOW,MODERATE,HIGH",PROTECT,MAINTENANCE,PR.PT-1
