STATUS,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT
ACTIVE,ACCESS CONTROL,AC-1,ACCESS CONTROL POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-1a.,ACCESS CONTROL POLICY AND PROCEDURES,NA,NA
ACTIVE,ACCESS CONTROL,AC-1a.1.,ACCESS CONTROL POLICY AND PROCEDURES,NA,NA
ACTIVE,ACCESS CONTROL,AC-1a.2.,ACCESS CONTROL POLICY AND PROCEDURES,NA,NA
ACTIVE,ACCESS CONTROL,AC-1b.,ACCESS CONTROL POLICY AND PROCEDURES,NA,NA
ACTIVE,ACCESS CONTROL,AC-1b.1.,ACCESS CONTROL POLICY AND PROCEDURES,NA,NA
ACTIVE,ACCESS CONTROL,AC-1b.2.,ACCESS CONTROL POLICY AND PROCEDURES,NA,NA
ACTIVE,ACCESS CONTROL,AC-2,ACCOUNT MANAGEMENT,P1,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-2a.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2b.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2c.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2d.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2e.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2f.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2g.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2h.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2h.1.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2h.2.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2h.3.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2i.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2i.1.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2i.2.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2i.3.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2j.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2k.,ACCOUNT MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (1),AUTOMATED SYSTEM ACCOUNT MANAGEMENT,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-2 (2),REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-2 (3),DISABLE INACTIVE ACCOUNTS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-2 (4),AUTOMATED AUDIT ACTIONS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-2 (5),INACTIVITY LOGOUT,NA,HIGH
ACTIVE,ACCESS CONTROL,AC-2 (6),DYNAMIC PRIVILEGE MANAGEMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (7),ROLE-BASED SCHEMES,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (7)(a),ROLE-BASED SCHEMES,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (7)(b),ROLE-BASED SCHEMES,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (7)(c),ROLE-BASED SCHEMES,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (8),DYNAMIC ACCOUNT CREATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (9),RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (10),SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (11),USAGE CONDITIONS,NA,HIGH
ACTIVE,ACCESS CONTROL,AC-2 (12),ACCOUNT MONITORING / ATYPICAL USAGE,NA,HIGH
ACTIVE,ACCESS CONTROL,AC-2 (12)(a),ACCOUNT MONITORING / ATYPICAL USAGE,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (12)(b),ACCOUNT MONITORING / ATYPICAL USAGE,NA,NA
ACTIVE,ACCESS CONTROL,AC-2 (13),DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,NA,HIGH
ACTIVE,ACCESS CONTROL,AC-3,ACCESS ENFORCEMENT,P1,"LOW,MODERATE,HIGH"
[Withdrawn: Incorporated into AC-6].,ACCESS CONTROL,AC-3 (1),RESTRICTED ACCESS TO PRIVILEGED FUNCTIONS,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (2),DUAL AUTHORIZATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(a),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(b),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(b)(1),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(b)(2),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(b)(3),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(b)(4),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(b)(5),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (3)(c),MANDATORY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (4),DISCRETIONARY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (4)(a),DISCRETIONARY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (4)(b),DISCRETIONARY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (4)(c),DISCRETIONARY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (4)(d),DISCRETIONARY ACCESS CONTROL,NA,NA
