IMPLEMENTED BY,RMF CONTROL FAMILY,RMF CONTROL NUMBER,RMF CONTROL NAME - CONTROL ENHANCEMENT NAME,BASELINE IMPACT,CSF FUNCTION,CSF CATEGORY,CSF SUBCATEGORY,PRIVACY,HVA,FSA,FPKI
O,ACCESS CONTROL,AC-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,ACCESS CONTROL,AC-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,YES
O,ACCESS CONTROL,AC-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,YES
O,ACCESS CONTROL,AC-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.AC,PR.AC-3,YES,NO,YES,YES
O,ACCESS CONTROL,AC-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.AC,PR.AC-4,YES,NO,YES,YES
O,ACCESS CONTROL,AC-14,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,l/M/H,NA,NA,NA,NO,NO,YES,YES
O,ACCESS CONTROL,AC-14,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,l/M/H,PROTECT,PR.AC,PR.AC-4,NO,NO,YES,YES
O,ACCESS CONTROL,AC-14,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,l/M/H,PROTECT,PR.AC,PR.AC-7,NO,NO,YES,YES
O,ACCESS CONTROL,AC-16,SECURITY AND PRIVACY ATTRIBUTES,NA,PROTECT,PR.AC,PR.AC-4,NO,NO,YES,YES
O,ACCESS CONTROL,AC-16,SECURITY AND PRIVACY ATTRIBUTES,NA,PROTECT,PR.AC,PR.AC-6,NO,NO,YES,YES
O,ACCESS CONTROL,AC-16(10),ATTRIBUTE CONFIGURATION BY AUTHORIZED INDIVIDUALS,NA,NA,NA,NA,NO,NO,YES,NO
O,ACCESS CONTROL,AC-16(6),MAINTENANCE OF ATTRIBUTE ASSOCIATION,NA,NA,NA,NA,NO,NO,YES,NO
O,ACCESS CONTROL,AC-16(7),CONSISTENT ATTRIBUTE INTERPRETATION,NA,NA,NA,NA,NO,NO,YES,NO
O,ACCESS CONTROL,AC-16(9),ATTRIBUTE REASSIGNMENT – REGRADING MECHANISMS,NA,NA,NA,NA,NO,NO,YES,NO
O,ACCESS CONTROL,AC-17,REMOTE ACCESS,l/M/H,PROTECT,PR.AC,PR.AC-3,NO,YES,YES,NO
O,ACCESS CONTROL,AC-17,REMOTE ACCESS,l/M/H,PROTECT,PR.PT,PR.PT-4,NO,YES,YES,NO
O,ACCESS CONTROL,AC-17(4),PRIVILEGED COMMANDS AND ACCESS,M/H,NA,NA,NA,NO,NO,YES,NO
O,ACCESS CONTROL,AC-17(6),PROTECTION OF MECHANISM INFORMATION,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-17(9),DISCONNECT OR DISABLE ACCESS,NA,NA,NA,NA,NO,NO,NO,NO
